"19","113","492","597","date","other"
"23","25","22","23","2017-01-06","0"
"23","25","22","23","2017-01-20","0"
"23","25","22","23","2017-02-03","0"
"21","23","20","21","2017-02-17","0"
"23","25","22","23","2017-03-03","0"
"20","21","19","20","2017-03-17","0"
"23","25","22","23","2017-03-31","0"
"23","25","22","23","2017-04-14","0"
"23","25","22","23","2017-04-28","0"
"23","25","22","23","2017-05-12","0"
"23","26","23","23","2017-05-26","0"
"21","24","21","21","2017-06-09","0"
"23","26","23","23","2017-06-23","0"
"23","26","23","23","2017-07-07","0"
"21","24","21","21","2017-07-21","0"
"20","22","20","20","2017-08-04","0"
"20","22","20","20","2017-08-18","0"
"12","13","12","12","2017-09-01","0"
"16","19","16","16","2017-09-15","0"
"15","17","15","15","2017-09-29","0"
"15","17","15","15","2017-10-13","0"
"12","13","12","12","2017-10-27","0"
"18","20","18","18","2017-11-10","0"
"16","19","16","16","2017-11-24","0"
"16","19","16","16","2017-12-08","0"
"15","17","15","15","2017-12-22","0"
"16","19","16","16","2018-01-05","0"
"15","17","15","15","2018-01-19","0"
"12","13","12","12","2018-02-02","0"
"12","13","12","12","2018-02-16","0"
"18","20","18","18","2018-03-02","0"
"13","15","13","13","2018-03-16","0"
"13","15","13","13","2018-03-30","0"
"14","15","13","14","2018-04-13","0"
"24","26","23","24","2018-04-27","0"
"25","27","24","25","2018-05-11","0"
"25","27","24","25","2018-05-25","0"
"24","26","23","24","2018-06-08","0"
"26","28","25","26","2018-06-22","0"
"26","28","25","26","2018-07-06","0"
"26","28","25","26","2018-07-20","0"
"26","28","25","26","2018-08-03","0"
"26","28","25","26","2018-08-17","0"
"26","28","25","26","2018-08-31","0"
"26","28","25","26","2018-09-14","0"
"26","28","25","26","2018-09-28","0"
"26","28","25","26","2018-10-12","0"
"26","28","25","26","2018-10-26","0"
"26","28","25","26","2018-11-09","0"
"26","28","25","26","2018-11-23","0"
"26","28","25","26","2018-12-07","0"
"26","28","25","26","2018-12-21","0"
"26","28","25","26","2019-01-04","0"
"26","28","25","26","2019-01-18","0"
"26","28","25","26","2019-02-01","0"
"26","28","25","26","2019-02-15","0"
"26","28","25","26","2019-03-01","0"
"13","14","13","13","2019-03-15","0"
"7","8","7","7","2019-03-29","0"
"24","26","23","24","2019-04-12","0"
"26","28","25","26","2019-04-26","0"
"7","8","7","7","2019-05-10","0"
"19","21","19","19","2019-05-24","0"
"27","29","26","27","2019-06-07","0"
"27","29","26","27","2019-06-21","0"
"27","29","26","27","2019-07-05","0"
"25","27","24","25","2019-07-19","0"
"27","29","26","27","2019-08-02","0"
"23","25","22","23","2019-08-16","0"
"29","31","28","29","2019-08-30","0"
"25","27","24","25","2019-09-13","0"
"27","29","26","27","2019-09-27","0"
"27","29","26","27","2019-10-11","0"
"27","29","26","27","2019-10-25","0"
"23","25","22","23","2019-11-08","0"
"27","29","26","27","2019-11-22","0"
"29","31","28","29","2019-12-06","0"
"27","29","26","27","2019-12-20","0"
"27","29","26","27","2020-01-03","0"
"27","29","26","27","2020-01-17","0"
"25","27","24","25","2020-01-31","0"
"29","31","28","29","2020-02-14","0"
"29","31","28","29","2020-02-28","0"
"25","27","24","25","2020-03-13","0"
"25","27","24","25","2020-03-27","0"
"35","37","33","35","2020-04-10","0"
"25","27","24","25","2020-04-24","0"
"27","29","26","27","2020-05-08","0"
"25","27","24","25","2020-05-22","0"
"27","29","26","27","2020-06-05","0"
"25","27","24","25","2020-06-19","0"
"27","29","26","27","2020-07-03","0"
"25","27","24","25","2020-07-17","0"
"48","52","46","48","2020-07-31","0"
"25","27","24","25","2020-08-14","0"
"31","33","30","31","2020-08-28","0"
"35","37","33","35","2020-09-11","0"
"29","31","28","29","2020-09-25","0"
"29","31","28","29","2020-10-09","0"
"29","31","28","29","2020-10-23","0"
"33","35","32","33","2020-11-06","0"
"35","37","33","35","2020-11-20","0"
"31","33","30","31","2020-12-04","0"
"31","33","30","31","2020-12-18","0"
"31","33","30","31","2021-01-01","0"
"33","35","32","33","2021-01-15","0"
"27","29","26","27","2021-01-29","0"
"17","19","17","17","2021-02-12","0"
"39","41","37","39","2021-02-26","0"
"27","29","26","27","2021-03-12","0"
"31","33","30","31","2021-03-26","0"
"27","29","26","27","2021-04-09","0"
"31","33","30","31","2021-04-23","0"
"31","33","30","31","2021-05-07","0"
"27","29","26","27","2021-05-21","0"
